benchmark,object,query size,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%,min,avg,max
PureJdbcBenchmark,SmallBenchmarkObject,00001,19520.00,19632.00,19728.00,19792.00,19872.00,19952.00,20032.00,20128.00,20288.00,20480.00,22848.00,18800.00,20049.46,3635200.00
PureJdbcBenchmark,SmallBenchmarkObject,00010,23152.00,23264.00,23344.00,23408.00,23456.00,23520.00,23600.00,23680.00,23808.00,23920.00,25632.00,22432.00,23603.78,1649664.00
PureJdbcBenchmark,SmallBenchmarkObject,00100,55648.00,56896.00,57088.00,57184.00,57280.00,57376.00,57472.00,57600.00,57792.00,58208.00,65120.00,54368.00,57364.10,1649664.00
PureJdbcBenchmark,SmallBenchmarkObject,01000,384512.00,385280.00,385792.00,386560.00,387072.00,387584.00,388352.00,389376.00,392960.00,395776.00,404992.00,364288.00,387729.18,1971200.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00001,21312.00,21392.00,21456.00,21504.00,21552.00,21616.00,21664.00,21744.00,21856.00,22000.00,23968.00,20816.00,21725.08,2576384.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00010,24608.00,24704.00,24784.00,24832.00,24896.00,24944.00,25008.00,25088.00,25184.00,25296.00,26832.00,24000.00,25027.16,1636352.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00100,59584.00,59776.00,59936.00,60160.00,60896.00,61376.00,61600.00,61792.00,62016.00,62272.00,68736.00,58240.00,61019.17,1629184.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,01000,408064.00,409600.00,411392.00,419840.00,424960.00,427264.00,428288.00,429312.00,431104.00,435456.00,441088.00,400896.00,421743.00,2078720.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,19344.00,19440.00,19520.00,19584.00,19664.00,19728.00,19808.00,19904.00,20048.00,20224.00,22192.00,18768.00,19828.62,2040832.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,23456.00,23536.00,23600.00,23648.00,23712.00,23760.00,23824.00,23920.00,24032.00,24160.00,25888.00,22928.00,23858.06,1601536.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,60736.00,60960.00,61120.00,61248.00,61344.00,61472.00,61568.00,61696.00,61952.00,63040.00,69440.00,58176.00,61619.32,1661952.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,424192.00,425984.00,428032.00,428544.00,429056.00,430080.00,430592.00,431616.00,434944.00,438016.00,443648.00,403200.00,429947.95,2187264.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,20592.00,20672.00,20736.00,20800.00,20848.00,20912.00,20960.00,21040.00,21168.00,21312.00,23472.00,19984.00,21031.80,5263360.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,25360.00,25456.00,25536.00,25584.00,25648.00,25712.00,25760.00,25840.00,25952.00,26048.00,28016.00,24704.00,25789.15,1566720.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,68864.00,69056.00,69248.00,69376.00,69504.00,69632.00,69760.00,69888.00,70080.00,70400.00,77760.00,66048.00,69796.06,1677312.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,500224.00,501248.00,502528.00,503552.00,504576.00,505344.00,506368.00,507392.00,510464.00,513536.00,518912.00,475648.00,505294.58,2152448.00
Sql2OBenchmark,SmallBenchmarkObject,00001,28688.00,28800.00,28880.00,28944.00,29024.00,29088.00,29168.00,29264.00,29440.00,29696.00,32896.00,28000.00,29260.05,2170880.00
Sql2OBenchmark,SmallBenchmarkObject,00010,33376.00,33472.00,33536.00,33600.00,33664.00,33728.00,33792.00,33888.00,34016.00,34144.00,37472.00,32704.00,33869.65,1634304.00
Sql2OBenchmark,SmallBenchmarkObject,00100,91712.00,91840.00,91968.00,92096.00,92160.00,92224.00,92352.00,92480.00,92736.00,93504.00,101120.00,89728.00,92600.73,1671168.00
Sql2OBenchmark,SmallBenchmarkObject,01000,645120.00,647680.00,648704.00,649728.00,650240.00,651264.00,652288.00,653312.00,658432.00,660480.00,668160.00,623104.00,652257.42,2396160.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00001,53568.00,53760.00,53920.00,54048.00,54208.00,54432.00,54848.00,55200.00,55584.00,57952.00,63936.00,52480.00,54827.01,2576384.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00010,75968.00,76160.00,76352.00,76544.00,76800.00,77056.00,77376.00,77696.00,78208.00,80896.00,87168.00,74432.00,77413.16,2179072.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00100,277504.00,278272.00,278784.00,279296.00,279808.00,280576.00,281344.00,282624.00,285184.00,288768.00,293888.00,271104.00,281478.19,2455552.00
HibernateStatefullBenchmark,SmallBenchmarkObject,01000,2285568.00,2291712.00,2297856.00,2301952.00,2308096.00,2312192.00,2318336.00,2328576.00,2344960.00,2355200.00,2377728.00,2220032.00,2316345.94,4702208.00
MyBatisBenchmark,SmallBenchmarkObject,00001,41408.00,41536.00,41632.00,41696.00,41760.00,41824.00,41920.00,42016.00,42176.00,42528.00,50240.00,40448.00,42069.06,5361664.00
MyBatisBenchmark,SmallBenchmarkObject,00010,76800.00,77056.00,77184.00,77376.00,77504.00,77632.00,77824.00,78016.00,78272.00,78720.00,87232.00,75456.00,77898.19,1725440.00
MyBatisBenchmark,SmallBenchmarkObject,00100,417536.00,419328.00,420608.00,421632.00,422656.00,423680.00,424704.00,426240.00,429568.00,433408.00,438016.00,404224.00,423959.65,2131968.00
MyBatisBenchmark,SmallBenchmarkObject,01000,3702784.00,3721216.00,3735552.00,3747840.00,3758080.00,3766272.00,3778560.00,3788800.00,3805184.00,3817472.00,3846144.00,3547136.00,3761815.73,6156288.00
