Benchmark,QuerySize,Median,Error (99.9%),Samples
PureJdbcJmhBenchmarks,1,331.8019059,5.50616939,1564176
PureJdbcJmhBenchmarks,10,445.3008396,8.550126081,1120125
PureJdbcJmhBenchmarks,100,1450.670819,12.62423577,1217548
PureJdbcJmhBenchmarks,1000,11691.41996,44.0124011,1179868
SfmStaticJmhBenchmarks,1,384.5861834,6.763179506,1313872
SfmStaticJmhBenchmarks,10,643.325042,7.757763283,1459993
SfmStaticJmhBenchmarks,100,3349.804742,22.13383617,1036937
SfmStaticJmhBenchmarks,1000,32874.82907,58.03042371,1672063
SfmDynamicJmhBenchmarks,1,419.9599102,7.825749385,1188533
SfmDynamicJmhBenchmarks,10,680.7580599,9.100971334,1380284
SfmDynamicJmhBenchmarks,100,3390.051361,23.24830312,1025171
SfmDynamicJmhBenchmarks,1000,32591.55624,56.72438328,1685302
SfmNoAsmJmhBenchmarks,1,480.7792093,8.014908416,1115971
SfmNoAsmJmhBenchmarks,10,1575.473424,13.19702559,1115095
SfmNoAsmJmhBenchmarks,100,12563.74727,44.9998464,1096868
SfmNoAsmJmhBenchmarks,1000,121263.0787,153.2426534,906093
RomaJmhBenchmarks,1,339.6413072,5.649090255,1518489
RomaJmhBenchmarks,10,587.5068561,7.922044154,1621687
RomaJmhBenchmarks,100,2908.435057,20.22669589,1196717
RomaJmhBenchmarks,1000,28023.73432,54.19621597,1960236
Sql2oJmhBenchmarks,1,3605.412649,18.85247274,1656536
Sql2oJmhBenchmarks,10,6375.647452,31.53283943,1091279
Sql2oJmhBenchmarks,100,34448.1838,61.85150432,1594301
Sql2oJmhBenchmarks,1000,312341.7988,413.3183376,351820
HibernateJmhBenchmarks,1,22991.95874,65.57183216,1269977
HibernateJmhBenchmarks,10,39567.61218,78.4542137,1387204
HibernateJmhBenchmarks,100,208311.026,297.8661629,527492
HibernateJmhBenchmarks,1000,2046527.662,3394.667927,53756
MyBatisJmhBenchmarks,1,14233.40277,39.13703242,1849285
MyBatisJmhBenchmarks,10,46053.16691,86.01213961,1192555
MyBatisJmhBenchmarks,100,353469.2742,321.4017071,310937
MyBatisJmhBenchmarks,1000,3551790.966,5023.679818,30982
BeansPropertyRowMapperJmhBenchmarks,1,10833.50669,38.18372736,1273315
BeansPropertyRowMapperJmhBenchmarks,10,104329.615,132.9601338,1052972
BeansPropertyRowMapperJmhBenchmarks,100,1045051.743,1406.471904,105240
BeansPropertyRowMapperJmhBenchmarks,1000,1.06E+07,19492.70908,10427
