Benchmark,QuerySize,Median,Error (99.9%),Samples
PureJdbcJmhBenchmarks,1,133879.8556,152.5243916,820153
PureJdbcJmhBenchmarks,10,192229.2268,277.0790061,571183
PureJdbcJmhBenchmarks,100,512082.1823,561.2673838,214669
PureJdbcJmhBenchmarks,1000,2194948.241,2610.09024,50099
SfmStaticJmhBenchmarks,1,134076.9718,153.4817105,818924
SfmStaticJmhBenchmarks,10,191947.8085,274.7043738,572028
SfmStaticJmhBenchmarks,100,515397.9871,581.051082,213291
SfmStaticJmhBenchmarks,1000,2220424.263,2629.94336,49521
SfmDynamicJmhBenchmarks,1,136567.4911,159.9247149,804022
SfmDynamicJmhBenchmarks,10,201864.5363,311.8594283,543907
SfmDynamicJmhBenchmarks,100,515270.4709,576.5817782,213338
SfmDynamicJmhBenchmarks,1000,2219562.31,2099.763249,49542
SfmNoAsmJmhBenchmarks,1,136853.1155,330.9009261,802352
SfmNoAsmJmhBenchmarks,10,213766.8396,345.1357289,513640
SfmNoAsmJmhBenchmarks,100,525034.2674,579.6507697,209346
SfmNoAsmJmhBenchmarks,1000,2329889.096,2624.193844,47191
RomaJmhBenchmarks,1,151110.254,217.1246138,726640
RomaJmhBenchmarks,10,285923.5687,447.7107326,384082
RomaJmhBenchmarks,100,534478.363,689.272813,205617
RomaJmhBenchmarks,1000,2316890.495,1983.192569,47463
Sql2oJmhBenchmarks,1,161421.5891,283.2646054,680233
Sql2oJmhBenchmarks,10,316376.8009,389.0681922,347156
Sql2oJmhBenchmarks,100,573713.6873,684.4129313,191559
Sql2oJmhBenchmarks,1000,2726219.079,1237.893601,40344
HibernateJmhBenchmarks,1,325605.6982,418.6152189,337303
HibernateJmhBenchmarks,10,383336.7943,407.7896375,286660
HibernateJmhBenchmarks,100,808787.3911,1407.2301,135937
HibernateJmhBenchmarks,1000,4797502.949,8047.352142,22953
MyBatisJmhBenchmarks,1,276548.9825,384.4278365,397231
MyBatisJmhBenchmarks,10,343193.8391,528.5379669,320175
MyBatisJmhBenchmarks,100,1131277.769,2547.144686,97200
MyBatisJmhBenchmarks,1000,6745436.102,10413.46888,16338
BeansPropertyRowMapperJmhBenchmarks,1,248040.6268,480.4020353,442730
BeansPropertyRowMapperJmhBenchmarks,10,445082.3047,592.8274332,246962
BeansPropertyRowMapperJmhBenchmarks,100,1720308.053,2574.275631,63942
BeansPropertyRowMapperJmhBenchmarks,1000,1.36E+07,20778.60788,8152
