"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",68.2492863769562,0.17491869616024572,1739714
PureJdbc,"10",175.07203618288588,2.1837209606537646,1641439
PureJdbc,"100",1169.321238356964,11.358336763248502,1521403
PureJdbc,"1000",11030.568220047098,37.430845996894064,1248460
JdbcMapperStatic,"1",81.99155503023874,0.16597539145189638,1261461
JdbcMapperStatic,"10",405.5317375169571,5.248482639956959,1226624
JdbcMapperStatic,"100",3265.5805553233436,21.979824121448125,1064641
JdbcMapperStatic,"1000",32378.072050582912,55.93116473673572,1696225
JdbcMapperDynamic,"1",151.99467255564892,0.17587407358425924,1535070
JdbcMapperDynamic,"10",704.8485947847386,7.639166735435352,1324459
JdbcMapperDynamic,"100",6287.12078632242,31.432567125471355,1097972
JdbcMapperDynamic,"1000",61658.80593685646,77.35989450763667,1780673
JdbcMapperDynamicNoAsm,"1",215.44277636244055,5.341154010024791,1322810
JdbcMapperDynamicNoAsm,"10",1538.7672726138014,16.17633221695782,1153676
JdbcMapperDynamicNoAsm,"100",14827.516283396219,35.28685976610445,1853391
JdbcMapperDynamicNoAsm,"1000",148559.41396236926,190.81070146934115,739502
Roma,"1",80.9771923603599,0.1518918438080975,1223932
Roma,"10",461.9805596958493,4.742647096985713,1051321
Roma,"100",3710.448958934641,18.499754559196163,1869191
Roma,"1000",37901.12567987756,68.51323923859658,1449158
Sql2o,"1",3151.1468457684264,17.887536872602848,1120257
Sql2o,"10",5864.615365897964,28.332231384677414,1183595
Sql2o,"100",37458.417188654705,68.29252807449788,1466828
Sql2o,"1000",306628.23071127606,403.2333701068057,358370
Hibernate,"1",20077.626678956116,56.80333907656158,1375706
Hibernate,"10",39330.70849772078,82.46390257219065,1396092
Hibernate,"100",212071.20239322179,300.51704993607586,518130
Hibernate,"1000",2031647.5065285242,3485.321530918984,54147
MyBatis,"1",13019.181106041473,47.09420284264162,1172777
MyBatis,"10",44049.960954335555,81.12174925646084,1247360
MyBatis,"100",338852.7887673083,307.45582724176353,324339
MyBatis,"1000",3329742.6965258443,4650.882203568201,33044
RowMapper,"1",10704.712798875697,40.01490384545484,1290754
RowMapper,"10",104774.37890464056,134.0862433833087,1048496
RowMapper,"100",1049608.0529113659,1447.1565518374673,104779
RowMapper,"1000",1.0461339239719538E7,18338.568788233046,10554
