"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",221029.74919511887,129.54640969004893,993625
PureJdbc,"10",248602.3840427567,170.85641639435696,883511
PureJdbc,"100",533459.495341581,743.203715894173,411835
PureJdbc,"1000",2663593.8908808804,2080.6674928917105,82497
JdbcMapperStatic,"1",221842.06073413513,125.20181149256786,989954
JdbcMapperStatic,"10",248318.42880156642,169.07064284891763,884563
JdbcMapperStatic,"100",540459.8984895449,769.7411258863671,406500
JdbcMapperStatic,"1000",2700977.1821187576,2104.1561484625086,81359
JdbcMapperDynamic,"1",223186.11016187005,153.38075816117112,984061
JdbcMapperDynamic,"10",252600.556215658,190.79489125730677,869562
JdbcMapperDynamic,"100",555272.545885588,765.3158223551329,395658
JdbcMapperDynamic,"1000",2827167.7571204365,2562.0442942435475,77734
JdbcMapperDynamicNoAsm,"1",224126.5651911239,126.72391525987466,979888
JdbcMapperDynamicNoAsm,"10",253964.23883627384,260.46372593929914,864877
JdbcMapperDynamicNoAsm,"100",574648.8892608848,820.5915810085396,382322
JdbcMapperDynamicNoAsm,"1000",2930291.9335448947,2242.745737511413,74998
Roma,"1",230579.68793772277,230.99177288601197,952515
Roma,"10",260847.6535651513,262.3126221659051,842040
Roma,"100",606114.9766394721,909.3536485004621,362449
Roma,"1000",3050428.6315789474,2476.2701698775263,72048
Sql2o,"1",235434.598703611,151.42423878382633,932899
Sql2o,"10",269953.2831031142,201.48368794034246,813428
Sql2o,"100",736730.203485662,1136.2039756179238,298193
Sql2o,"1000",3512090.3721881392,2405.226256518124,62592
Hibernate,"1",271990.15482205205,272.98433488161197,807146
Hibernate,"10",335792.64904206357,403.33079658476186,654010
Hibernate,"100",1066668.4630270663,1492.8343636965174,205975
Hibernate,"1000",5516048.820708529,7088.315361119727,39829
MyBatis,"1",373758.1151096769,306.7412151153552,587544
MyBatis,"10",440963.6154968911,471.4671137189772,498087
MyBatis,"100",1044792.2975024253,1214.6670782528424,210284
MyBatis,"1000",7436077.198890167,8622.613674056049,29554
RowMapper,"1",245390.53788178408,197.85712467604162,895074
RowMapper,"10",398181.44315545243,444.08093710238967,551680
RowMapper,"100",1911276.966128962,2119.308202494106,114995
RowMapper,"1000",1.5426895679977542E7,18885.003418576725,14249
