"Benchmark","QuerySize","Median","Error (99.9%)","Samples"
PureJdbc,"1",1406.5253815930882,7.060052918683692,1262667
PureJdbc,"10",3535.758394522849,18.865424277811627,1178715
PureJdbc,"100",23949.1907982112,67.05625008770473,1148255
PureJdbc,"1000",225799.51344710123,258.00909129413566,486722
JdbcMapperStatic,"1",1439.170411722758,12.537644268840651,1242438
JdbcMapperStatic,"10",3721.1038278751716,20.3155546802258,1875662
JdbcMapperStatic,"100",25772.57355970506,69.5310979306932,1065563
JdbcMapperStatic,"1000",239870.0942512129,236.07493299324904,458201
JdbcMapperDynamic,"1",1672.4870100452017,7.108569015537152,1174292
JdbcMapperDynamic,"10",4378.673543162501,18.47978108224855,1582589
JdbcMapperDynamic,"100",31507.382811386087,66.83931669239328,1746377
JdbcMapperDynamic,"1000",297856.0225527428,303.95413462950955,368913
JdbcMapperDynamicNoAsm,"1",1684.6719104925469,13.56146348071089,1164417
JdbcMapperDynamicNoAsm,"10",4636.739086607625,16.95777068779509,1491035
JdbcMapperDynamicNoAsm,"100",34269.79559327322,64.06523174569661,1602550
JdbcMapperDynamicNoAsm,"1000",328343.8400215121,399.548449894965,334695
Roma,"1",1977.6630913901145,12.843621081077321,1786342
Roma,"10",4645.642493628469,27.9685378227001,1495716
Roma,"100",29738.506017571537,63.19629596138613,1846509
Roma,"1000",274995.988607069,329.01952658908095,399546
Sql2o,"1",4668.298413313527,24.564633248923617,1486368
Sql2o,"10",8554.216073841473,37.31654430877857,1620011
Sql2o,"100",44815.69581471212,93.95834729791927,1226200
Sql2o,"1000",397934.68451730156,612.6288140734301,276218
Jooq,"1",27643.458005659784,79.58683482635479,1192625
Jooq,"10",39660.76999122867,87.79443866942411,1385195
Jooq,"100",140348.2647855646,231.9721082643582,782520
Jooq,"1000",1142310.3821812214,2891.4866553407055,96258
Hibernate,"1",14579.42647868237,50.551535896031304,1800505
Hibernate,"10",29252.448882339697,62.48635869687799,1874362
Hibernate,"100",165895.27985356393,294.5277990639611,662132
Hibernate,"1000",1604049.7423155438,4527.735819106874,68580
MyBatis,"1",14026.826028905967,49.993779719212,1300216
MyBatis,"10",35524.32546648765,77.66707528507321,1546236
MyBatis,"100",234186.72624250702,413.67544510848364,469273
MyBatis,"1000",2269209.3929691366,6684.194669556049,48472
RowMapper,"1",10121.861120894086,39.21511968355482,1362912
RowMapper,"10",79260.48165266066,124.08398845363155,1385596
RowMapper,"100",768836.616563645,1733.6981561673808,143012
RowMapper,"1000",7546947.547283427,32320.669401964955,14614
