Benchmark,QuerySize,Median,Error (99.9%),Samples
PureJdbc,1,2246.048435,14.26121845,1578810
PureJdbc,10,5591.635986,28.3096308,1241643
PureJdbc,100,37173.62947,72.93863682,1477892
PureJdbc,1000,353201.9819,468.4400067,311158
JdbcMapperStatic,1,2284.237736,17.23232287,1567674
JdbcMapperStatic,10,5824.232399,32.67180615,1195153
JdbcMapperStatic,100,39239.8162,78.00234407,1400620
JdbcMapperStatic,1000,378062.323,487.8508549,290723
JdbcMapperDynamic,1,2633.504095,22.82105402,1345702
JdbcMapperDynamic,10,6769.851091,38.39898731,1026145
JdbcMapperDynamic,100,47928.84703,96.97223075,1142512
JdbcMapperDynamic,1000,459359.6502,442.3305638,239320
JdbcMapperDynamicNoAsm,1,2712.906669,18.85126378,1312912
JdbcMapperDynamicNoAsm,10,7230.011817,26.69253585,1918672
JdbcMapperDynamicNoAsm,100,52283.39856,103.2631398,1048827
JdbcMapperDynamicNoAsm,1000,505367.5155,475.3717589,217533
Roma,1,3122.175979,28.61431668,1139875
Roma,10,7209.279174,26.66347856,1917788
Roma,100,46776.97133,94.68582055,1174344
Roma,1000,432395.6564,525.4585064,254234
Sql2o,1,7334.997466,29.60129644,1893210
Sql2o,10,13059.54008,49.17894646,1058074
Sql2o,100,68856.63896,96.24648678,1593861
Sql2o,1000,613316.0692,538.7397265,179219
Jooq,1,40734.65355,84.56743864,1348327
Jooq,10,57236.06696,83.43223263,1916429
Jooq,100,212115.6692,311.430196,518001
Jooq,1000,1800722.323,2492.291316,61082
JooqWithSfm,1,34039.06,73.72,1613379
JooqWithSfm,10,48892.20,103.39,1122493
JooqWithSfm,100,183251.97,279.81,599461
JooqWithSfm,1000,1558213.63,2391.43,70573
Hibernate,1,20262.42304,58.16898846,1360551
Hibernate,10,43210.69723,90.69729052,1271830
Hibernate,100,252035.9182,385.4962204,436021
Hibernate,1000,2545965.253,4547.858012,43203
MyBatis,1,21046.22463,61.49631922,1312130
MyBatis,10,54169.05575,97.3134646,1175552
MyBatis,100,359393.8879,520.7535404,305801
MyBatis,1000,3491729.173,4701.805105,31507
RowMapper,1,15577.09455,42.30690492,1770755
RowMapper,10,121158.9678,176.3633099,906739
RowMapper,100,1190374.696,1813.816067,92369
RowMapper,1000,1.16E+07,22518.27019,9494
