"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: nbRows","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,787342.4382479003,1448.2969172900923,"ns/op","","","1000",""
"OpenCsvMapper","avgt",1,100,1300849.3657871324,8560.012254847152,"ns/op","","","1000",""
"ReadSfmCsvMapper","avgt",1,100,521197.6315591643,9780.059518354781,"ns/op","","","1000",""
"UnivocityCsvMapper","avgt",1,100,5602739.108442322,26527.1896239412,"ns/op","","","1000",""
"HibernateStatefull","avgt",1,100,19554.63308974267,347.93409780556937,"ns/op","HSQLDB","1","",""
"HibernateStatefull","avgt",1,100,40889.141243418424,273.4400561570775,"ns/op","HSQLDB","10","",""
"HibernateStatefull","avgt",1,100,252239.35251971506,1700.5914314239621,"ns/op","HSQLDB","100","",""
"HibernateStatefull","avgt",1,100,2524391.757499786,23123.82695799555,"ns/op","HSQLDB","1000","",""
"MyBatis","avgt",1,100,19756.587303305558,298.164248004025,"ns/op","HSQLDB","1","",""
"MyBatis","avgt",1,100,52311.5499169445,501.14263460739556,"ns/op","HSQLDB","10","",""
"MyBatis","avgt",1,100,356205.3697116905,3517.9173959574737,"ns/op","HSQLDB","100","",""
"MyBatis","avgt",1,100,3560270.3572668717,37657.98291027546,"ns/op","HSQLDB","1000","",""
"PureJdbc","avgt",1,100,1884.7372115306143,10.688900360623972,"ns/op","HSQLDB","1","",""
"PureJdbc","avgt",1,100,4981.154598856581,14.46538318236538,"ns/op","HSQLDB","10","",""
"PureJdbc","avgt",1,100,35108.092470720374,76.18420432829672,"ns/op","HSQLDB","100","",""
"PureJdbc","avgt",1,100,333855.37161868426,803.5253936696224,"ns/op","HSQLDB","1000","",""
"Jooq","avgt",1,100,40174.45646563043,740.4819341576501,"ns/op","HSQLDB","1","",""
"Jooq","avgt",1,100,55876.52922504442,241.80002967532542,"ns/op","HSQLDB","10","",""
"Jooq","avgt",1,100,208156.68464950428,559.9179413351311,"ns/op","HSQLDB","100","",""
"Jooq","avgt",1,100,1809146.2627513923,11134.941482263437,"ns/op","HSQLDB","1000","",""
"JooqWithSfmMapping","avgt",1,100,32604.509396343776,315.3660931134679,"ns/op","HSQLDB","1","",""
"JooqWithSfmMapping","avgt",1,100,43735.9046925913,148.96965625877505,"ns/op","HSQLDB","10","",""
"JooqWithSfmMapping","avgt",1,100,145061.76742916717,945.7871731490993,"ns/op","HSQLDB","100","",""
"JooqWithSfmMapping","avgt",1,100,1160997.023099593,17157.86559644376,"ns/op","HSQLDB","1000","",""
"JdbcMapperDynamic","avgt",1,100,2212.2086433735794,30.339916740480486,"ns/op","HSQLDB","1","","true"
"JdbcMapperDynamic","avgt",1,100,2236.2027592507593,15.12451802559228,"ns/op","HSQLDB","1","","false"
"JdbcMapperDynamic","avgt",1,100,6238.830405702644,30.00443438109172,"ns/op","HSQLDB","10","","true"
"JdbcMapperDynamic","avgt",1,100,6602.974602451216,28.5669328340956,"ns/op","HSQLDB","10","","false"
"JdbcMapperDynamic","avgt",1,100,45468.289585649014,78.05008145587252,"ns/op","HSQLDB","100","","true"
"JdbcMapperDynamic","avgt",1,100,49683.90071594891,72.28735522535071,"ns/op","HSQLDB","100","","false"
"JdbcMapperDynamic","avgt",1,100,437271.1094578424,637.0437589801545,"ns/op","HSQLDB","1000","","true"
"JdbcMapperDynamic","avgt",1,100,480556.25776229566,939.9032560232266,"ns/op","HSQLDB","1000","","false"
"JdbcMapperStatic","avgt",1,100,1961.9165522297515,18.690112952877186,"ns/op","HSQLDB","1","","true"
"JdbcMapperStatic","avgt",1,100,2008.6676144415928,21.725007839945313,"ns/op","HSQLDB","1","","false"
"JdbcMapperStatic","avgt",1,100,5241.820828374597,14.046549964601871,"ns/op","HSQLDB","10","","true"
"JdbcMapperStatic","avgt",1,100,5699.529107972734,81.70476908194283,"ns/op","HSQLDB","10","","false"
"JdbcMapperStatic","avgt",1,100,37552.89034189829,146.02736114188377,"ns/op","HSQLDB","100","","true"
"JdbcMapperStatic","avgt",1,100,41382.77550870259,496.8525829398347,"ns/op","HSQLDB","100","","false"
"JdbcMapperStatic","avgt",1,100,357953.28109565953,804.966645407538,"ns/op","HSQLDB","1000","","true"
"JdbcMapperStatic","avgt",1,100,396282.3641171862,941.2737785394747,"ns/op","HSQLDB","1000","","false"
"BeanPropertyRowMapper","avgt",1,100,14789.948990499723,127.87702802948547,"ns/op","HSQLDB","1","",""
"BeanPropertyRowMapper","avgt",1,100,118763.24404191386,1876.466207021854,"ns/op","HSQLDB","10","",""
"BeanPropertyRowMapper","avgt",1,100,1141809.370420523,15058.357617995334,"ns/op","HSQLDB","100","",""
"BeanPropertyRowMapper","avgt",1,100,1.1418948310464205E7,72913.99348278323,"ns/op","HSQLDB","1000","",""
"Roma","avgt",1,100,2865.7625314059787,34.88734935231877,"ns/op","HSQLDB","1","",""
"Roma","avgt",1,100,6656.067510887622,39.774354020771014,"ns/op","HSQLDB","10","",""
"Roma","avgt",1,100,43735.547616405434,121.33355675049309,"ns/op","HSQLDB","100","",""
"Roma","avgt",1,100,410173.5049680099,1048.7631245538355,"ns/op","HSQLDB","1000","",""
"Sql2O","avgt",1,100,6469.541596161958,57.23688464940576,"ns/op","HSQLDB","1","",""
"Sql2O","avgt",1,100,12008.027506872453,46.462055746338294,"ns/op","HSQLDB","10","",""
"Sql2O","avgt",1,100,65871.85485853859,201.3005713522753,"ns/op","HSQLDB","100","",""
"Sql2O","avgt",1,100,603808.7852269361,3422.5581803936875,"ns/op","HSQLDB","1000","",""
