"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: nbRows","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,787997.5999193795,1668.2308057642997,"ns/op","","","1000",""
"OpenCsvMapper","avgt",1,100,1303072.568208699,7567.814907481104,"ns/op","","","1000",""
"ReadSfmCsvMapper","avgt",1,100,528847.7909138226,9521.331768197324,"ns/op","","","1000",""
"UnivocityCsvMapper","avgt",1,100,5698286.743798462,31206.273903413658,"ns/op","","","1000",""
"HibernateStatefull","avgt",1,100,349046.3592481357,14657.877510527023,"ns/op","MYSQL","1","",""
"HibernateStatefull","avgt",1,100,409242.82583372877,13441.167422905983,"ns/op","MYSQL","10","",""
"HibernateStatefull","avgt",1,100,1116423.8592749191,31116.467761332642,"ns/op","MYSQL","100","",""
"HibernateStatefull","avgt",1,100,5625843.021933151,24640.661533827264,"ns/op","MYSQL","1000","",""
"MyBatis","avgt",1,100,439412.26171149715,10770.684136939537,"ns/op","MYSQL","1","",""
"MyBatis","avgt",1,100,549851.6773805585,15550.541621423563,"ns/op","MYSQL","10","",""
"MyBatis","avgt",1,100,1215320.292608766,34234.55371344259,"ns/op","MYSQL","100","",""
"MyBatis","avgt",1,100,7418589.521235807,78545.52935198895,"ns/op","MYSQL","1000","",""
"PureJdbc","avgt",1,100,245113.75371465323,3560.2288719976145,"ns/op","MYSQL","1","",""
"PureJdbc","avgt",1,100,317283.5032905701,14638.623324296443,"ns/op","MYSQL","10","",""
"PureJdbc","avgt",1,100,667585.2787823379,33797.010527151186,"ns/op","MYSQL","100","",""
"PureJdbc","avgt",1,100,2865698.117698305,12454.507503679592,"ns/op","MYSQL","1000","",""
"Jooq","avgt",1,100,354027.50899164745,2191.722422642498,"ns/op","MYSQL","1","",""
"Jooq","avgt",1,100,462085.8394382921,11127.426381738525,"ns/op","MYSQL","10","",""
"Jooq","avgt",1,100,974488.9018887022,19609.71175802463,"ns/op","MYSQL","100","",""
"Jooq","avgt",1,100,4579035.606029605,28734.239631910994,"ns/op","MYSQL","1000","",""
"JooqWithSfmMapping","avgt",1,100,348793.41621051816,3056.2774409023427,"ns/op","MYSQL","1","",""
"JooqWithSfmMapping","avgt",1,100,443529.21775586484,9342.998769410746,"ns/op","MYSQL","10","",""
"JooqWithSfmMapping","avgt",1,100,872743.1729797185,21273.438969446936,"ns/op","MYSQL","100","",""
"JooqWithSfmMapping","avgt",1,100,4052582.4880152796,24870.417622109682,"ns/op","MYSQL","1000","",""
"JdbcMapperDynamic","avgt",1,100,248192.67499530484,3430.2241349746823,"ns/op","MYSQL","1","","true"
"JdbcMapperDynamic","avgt",1,100,247403.29696061276,3775.2397255586416,"ns/op","MYSQL","1","","false"
"JdbcMapperDynamic","avgt",1,100,330782.3793904874,17155.212686640618,"ns/op","MYSQL","10","","true"
"JdbcMapperDynamic","avgt",1,100,331048.67722029233,15900.28405927341,"ns/op","MYSQL","10","","false"
"JdbcMapperDynamic","avgt",1,100,710853.2141059585,31829.2279690071,"ns/op","MYSQL","100","","true"
"JdbcMapperDynamic","avgt",1,100,711389.782359285,35402.96717575837,"ns/op","MYSQL","100","","false"
"JdbcMapperDynamic","avgt",1,100,2982768.308170828,17800.811859090183,"ns/op","MYSQL","1000","","true"
"JdbcMapperDynamic","avgt",1,100,3038683.125390976,15646.600247834018,"ns/op","MYSQL","1000","","false"
"JdbcMapperStatic","avgt",1,100,247535.56572823788,4383.087561549895,"ns/op","MYSQL","1","","true"
"JdbcMapperStatic","avgt",1,100,248253.38696959068,4440.192288572139,"ns/op","MYSQL","1","","false"
"JdbcMapperStatic","avgt",1,100,316710.25094711175,13896.409210277863,"ns/op","MYSQL","10","","true"
"JdbcMapperStatic","avgt",1,100,323421.45097082073,16813.436273922613,"ns/op","MYSQL","10","","false"
"JdbcMapperStatic","avgt",1,100,690418.3542964491,34834.26562170561,"ns/op","MYSQL","100","","true"
"JdbcMapperStatic","avgt",1,100,706963.5036567535,33825.69103749035,"ns/op","MYSQL","100","","false"
"JdbcMapperStatic","avgt",1,100,2872758.1305017537,15104.91439763473,"ns/op","MYSQL","1000","","true"
"JdbcMapperStatic","avgt",1,100,2929431.200090636,16623.289277279262,"ns/op","MYSQL","1000","","false"
"BeanPropertyRowMapper","avgt",1,100,313128.79385150556,14337.835922507133,"ns/op","MYSQL","1","",""
"BeanPropertyRowMapper","avgt",1,100,474301.3322694125,14175.987803999096,"ns/op","MYSQL","10","",""
"BeanPropertyRowMapper","avgt",1,100,2001145.5909197628,29894.967940068786,"ns/op","MYSQL","100","",""
"BeanPropertyRowMapper","avgt",1,100,1.4377744626253504E7,149691.4478583638,"ns/op","MYSQL","1000","",""
"Roma","avgt",1,100,258237.155044022,3993.066263583517,"ns/op","MYSQL","1","",""
"Roma","avgt",1,100,390898.2074675486,25710.395143742793,"ns/op","MYSQL","10","",""
"Roma","avgt",1,100,739865.8885196507,37420.62344408697,"ns/op","MYSQL","100","",""
"Roma","avgt",1,100,3215603.669782698,13868.464943826853,"ns/op","MYSQL","1000","",""
"Sql2O","avgt",1,100,262418.64366800233,4235.027074173591,"ns/op","MYSQL","1","",""
"Sql2O","avgt",1,100,388297.2555657865,26008.710769028152,"ns/op","MYSQL","10","",""
"Sql2O","avgt",1,100,779157.6745779375,29056.000573960082,"ns/op","MYSQL","100","",""
"Sql2O","avgt",1,100,3601053.194165768,31632.36891943616,"ns/op","MYSQL","1000","",""
