"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,1118.4741813523497,4.826646109166925,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,9118.869364959794,43.9591335688014,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,85848.87813920769,178.12899941965716,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,792258.0436917425,1136.4026230484653,"ns/op","","1000",""
"OpenCsvMapper","avgt",1,100,2602.02436880297,1.9095006277649536,"ns/op","","1",""
"OpenCsvMapper","avgt",1,100,13782.472439417663,10.793967306376953,"ns/op","","10",""
"OpenCsvMapper","avgt",1,100,127311.25826787084,237.6666013013451,"ns/op","","100",""
"OpenCsvMapper","avgt",1,100,1330882.5516264462,10171.363062459175,"ns/op","","1000",""
"ReadSfmCsvMapper","avgt",1,100,2316.7352835638235,3.3109273048078456,"ns/op","","1",""
"ReadSfmCsvMapper","avgt",1,100,6360.356252699831,7.476860617061507,"ns/op","","10",""
"ReadSfmCsvMapper","avgt",1,100,54518.05950224173,437.32227240278934,"ns/op","","100",""
"ReadSfmCsvMapper","avgt",1,100,569732.5893193117,6544.952669046472,"ns/op","","1000",""
"UnivocityCsvMapper","avgt",1,100,4755668.114212725,20897.436116713103,"ns/op","","1",""
"UnivocityCsvMapper","avgt",1,100,4761095.450427946,14845.834092279201,"ns/op","","10",""
"UnivocityCsvMapper","avgt",1,100,4847882.466417459,15285.323440790697,"ns/op","","100",""
"UnivocityCsvMapper","avgt",1,100,5730098.963110537,27679.326895655337,"ns/op","","1000",""
"HibernateStatefull","avgt",1,100,414734.0440736777,10865.65615795979,"ns/op","MYSQL","1",""
"HibernateStatefull","avgt",1,100,603521.0770632412,28544.05960581381,"ns/op","MYSQL","10",""
"HibernateStatefull","avgt",1,100,2318520.920697363,27447.803288193412,"ns/op","MYSQL","100",""
"HibernateStatefull","avgt",1,100,1.6223061594328534E7,144254.65041186093,"ns/op","MYSQL","1000",""
"MyBatis","avgt",1,100,424565.49539136613,10020.532014676504,"ns/op","MYSQL","1",""
"MyBatis","avgt",1,100,522097.9550227659,15191.198418650936,"ns/op","MYSQL","10",""
"MyBatis","avgt",1,100,1232858.8766069592,38674.635981299114,"ns/op","MYSQL","100",""
"MyBatis","avgt",1,100,7414298.891675018,60250.031929452474,"ns/op","MYSQL","1000",""
"PureJdbc","avgt",1,100,239473.802162097,3599.2025397809402,"ns/op","MYSQL","1",""
"PureJdbc","avgt",1,100,309337.96280659974,12384.565457076904,"ns/op","MYSQL","10",""
