"","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"JacksonCsvMapper","avgt",1,100,17050.14920448754,100.07043243238931,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,23024.690503305206,94.03563497065856,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,84634.90170860401,97.96019223992471,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,735885.3514632445,4301.05494940875,"ns/op","","1000",""
"OpenCsvMapper","avgt",1,100,17668.785241571477,57.91701928376197,"ns/op","","1",""
"OpenCsvMapper","avgt",1,100,30238.603042220613,94.6106541245158,"ns/op","","10",""
"OpenCsvMapper","avgt",1,100,154073.66518741378,1006.8614676993659,"ns/op","","100",""
"OpenCsvMapper","avgt",1,100,1437350.2894599377,11133.025938387898,"ns/op","","1000",""
"ReadSfmCsvMapper","avgt",1,100,17633.543093594853,90.04640552547303,"ns/op","","1",""
"ReadSfmCsvMapper","avgt",1,100,22113.605948444834,150.38388581392604,"ns/op","","10",""
"ReadSfmCsvMapper","avgt",1,100,61841.570911174415,889.9708825176953,"ns/op","","100",""
"ReadSfmCsvMapper","avgt",1,100,467471.8717066077,1268.9871943391192,"ns/op","","1000",""
"UnivocityCsvMapper","avgt",1,100,4577236.214913043,18805.724525191814,"ns/op","","1",""
"UnivocityCsvMapper","avgt",1,100,4582672.148267974,11379.15467397796,"ns/op","","10",""
"UnivocityCsvMapper","avgt",1,100,4684563.590667125,12080.40664835693,"ns/op","","100",""
"UnivocityCsvMapper","avgt",1,100,5590727.81298858,18416.675788764747,"ns/op","","1000",""
"JacksonCsvMapper","avgt",1,100,16306.915262574028,86.082038034549,"ns/op","","1",""
"JacksonCsvMapper","avgt",1,100,21039.589146739672,93.63947874389648,"ns/op","","10",""
"JacksonCsvMapper","avgt",1,100,66920.17596996836,416.9323481138675,"ns/op","","100",""
"JacksonCsvMapper","avgt",1,100,543911.8551501363,1352.9184949048754,"ns/op","","1000",""
"OpenCsvParser","avgt",1,100,17621.46546640666,68.44625449361784,"ns/op","","1",""
"OpenCsvParser","avgt",1,100,25487.21958724956,79.8198141358566,"ns/op","","10",""
