Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: db,Param: limit,Param: useAsm
JacksonCsvMapper,avgt,1,100,17053.16395,118.5945786,ns/op,,1,
JacksonCsvMapper,avgt,1,100,23339.70615,109.917315,ns/op,,10,
JacksonCsvMapper,avgt,1,100,85272.08085,312.0823217,ns/op,,100,
JacksonCsvMapper,avgt,1,100,753914.0698,9406.282956,ns/op,,1000,
OpenCsvMapper,avgt,1,100,17739.02972,78.60227503,ns/op,,1,
OpenCsvMapper,avgt,1,100,30116.34682,93.22713452,ns/op,,10,
OpenCsvMapper,avgt,1,100,154464.1702,793.5797563,ns/op,,100,
OpenCsvMapper,avgt,1,100,1450889.33,16122.00422,ns/op,,1000,
ReadSfmCsvMapper,avgt,1,100,17769.48689,72.40092824,ns/op,,1,
ReadSfmCsvMapper,avgt,1,100,22059.60139,105.1898889,ns/op,,10,
ReadSfmCsvMapper,avgt,1,100,61898.4306,835.8211596,ns/op,,100,
ReadSfmCsvMapper,avgt,1,100,468106.4637,1866.428696,ns/op,,1000,
UnivocityCsvMapper,avgt,1,100,4652927.87,23132.89189,ns/op,,1,
UnivocityCsvMapper,avgt,1,100,4669384.116,14649.45783,ns/op,,10,
UnivocityCsvMapper,avgt,1,100,4744469.829,16724.81827,ns/op,,100,
UnivocityCsvMapper,avgt,1,100,5674261.281,24833.1364,ns/op,,1000,
JacksonCsvParser,avgt,1,100,16308.98376,101.5988687,ns/op,,1,
JacksonCsvParser,avgt,1,100,21237.09813,118.7436317,ns/op,,10,
JacksonCsvParser,avgt,1,100,67077.32531,388.0365733,ns/op,,100,
JacksonCsvParser,avgt,1,100,543132.2953,1111.929195,ns/op,,1000,
OpenCsvParser,avgt,1,100,17763.40915,67.13742928,ns/op,,1,
OpenCsvParser,avgt,1,100,26023.168,159.6665072,ns/op,,10,
OpenCsvParser,avgt,1,100,108127.5113,339.9157574,ns/op,,100,
OpenCsvParser,avgt,1,100,1005151.914,7624.670102,ns/op,,1000,
ReadSfmCsvParser,avgt,1,100,17191.90418,57.37049959,ns/op,,1,
ReadSfmCsvParser,avgt,1,100,20583.89795,88.31115212,ns/op,,10,
ReadSfmCsvParser,avgt,1,100,54467.47677,196.5472427,ns/op,,100,
ReadSfmCsvParser,avgt,1,100,387815.0926,1224.088095,ns/op,,1000,
ReadSfmCsvParserCC,avgt,1,100,17186.38649,107.6648662,ns/op,,1,
ReadSfmCsvParserCC,avgt,1,100,20084.65898,92.47869522,ns/op,,10,
ReadSfmCsvParserCC,avgt,1,100,45117.31595,582.8234294,ns/op,,100,
