,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: db,Param: limit,Param: useAsm
JacksonCsvMapper,avgt,1,100,20027.92418,80.43540153,ns/op,,1,
JacksonCsvMapper,avgt,1,100,27407.71332,126.4871303,ns/op,,10,
JacksonCsvMapper,avgt,1,100,96765.82134,154.2092553,ns/op,,100,
JacksonCsvMapper,avgt,1,100,824102.4028,2000.030615,ns/op,,1000,
OpenCsvMapper,avgt,1,100,21224.99404,94.99552087,ns/op,,1,
OpenCsvMapper,avgt,1,100,33380.78134,150.3724024,ns/op,,10,
OpenCsvMapper,avgt,1,100,153205.6782,682.0303545,ns/op,,100,
OpenCsvMapper,avgt,1,100,1351560.532,7776.178341,ns/op,,1000,
ReadSfmCsvMapper,avgt,1,100,20987.44379,60.34423734,ns/op,,1,
ReadSfmCsvMapper,avgt,1,100,25119.13237,98.30790717,ns/op,,10,
ReadSfmCsvMapper,avgt,1,100,66062.33917,285.1109692,ns/op,,100,
ReadSfmCsvMapper,avgt,1,100,549852.3736,1230.827683,ns/op,,1000,
UnivocityCsvMapper,avgt,1,100,5277232.713,19416.98652,ns/op,,1,
UnivocityCsvMapper,avgt,1,100,5272944.825,20105.16042,ns/op,,10,
UnivocityCsvMapper,avgt,1,100,5424103.164,19972.84962,ns/op,,100,
UnivocityCsvMapper,avgt,1,100,6287936.869,40494.64471,ns/op,,1000,
JacksonCsvParser,avgt,1,100,19531.2409,74.4294361,ns/op,,1,
JacksonCsvParser,avgt,1,100,24836.52025,82.30393389,ns/op,,10,
JacksonCsvParser,avgt,1,100,76006.78481,108.3146389,ns/op,,100,
JacksonCsvParser,avgt,1,100,614177.8439,2974.340222,ns/op,,1000,
OpenCsvParser,avgt,1,100,21119.53383,82.95773052,ns/op,,1,
OpenCsvParser,avgt,1,100,28555.373,69.56581301,ns/op,,10,
OpenCsvParser,avgt,1,100,105944.7156,154.3463366,ns/op,,100,
OpenCsvParser,avgt,1,100,923157.1202,8617.286793,ns/op,,1000,
ReadSfmCsvParser,avgt,1,100,20578.46515,82.50350979,ns/op,,1,
ReadSfmCsvParser,avgt,1,100,24176.25296,100.993213,ns/op,,10,
ReadSfmCsvParser,avgt,1,100,60398.84087,417.8428202,ns/op,,100,
ReadSfmCsvParser,avgt,1,100,426935.9456,1833.300484,ns/op,,1000,
ReadSfmCsvParserCC,avgt,1,100,20387.20402,98.27165147,ns/op,,1,
ReadSfmCsvParserCC,avgt,1,100,23694.25829,75.80388991,ns/op,,10,
ReadSfmCsvParserCC,avgt,1,100,52850.50406,148.5030624,ns/op,,100,
ReadSfmCsvParserCC,avgt,1,100,365244.9954,4629.862941,ns/op,,1000,
HibernateStatefull,avgt,1,100,19986.01471,460.01092,ns/op,HSQLDB,1,
HibernateStatefull,avgt,1,100,42512.5787,592.1892899,ns/op,HSQLDB,10,
HibernateStatefull,avgt,1,100,251258.3703,1418.834919,ns/op,HSQLDB,100,
HibernateStatefull,avgt,1,100,2542147.856,15189.92326,ns/op,HSQLDB,1000,
MyBatis,avgt,1,100,19951.05755,314.2213496,ns/op,HSQLDB,1,
MyBatis,avgt,1,100,53334.8598,710.4776071,ns/op,HSQLDB,10,
MyBatis,avgt,1,100,360917.7828,3870.209174,ns/op,HSQLDB,100,
MyBatis,avgt,1,100,3546104.348,36285.86504,ns/op,HSQLDB,1000,
PureJdbc,avgt,1,100,1938.574175,19.91372729,ns/op,HSQLDB,1,
PureJdbc,avgt,1,100,5020.826434,16.22522115,ns/op,HSQLDB,10,
PureJdbc,avgt,1,100,35267.09782,63.78560781,ns/op,HSQLDB,100,
