"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit"
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,235070.916773,3289.333778,"ns/op",MYSQL,1
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,274056.716748,6180.911323,"ns/op",MYSQL,10
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,614591.848824,41946.784948,"ns/op",MYSQL,100
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,2353159.693236,14947.794397,"ns/op",MYSQL,1000
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,334075.466134,2209.432204,"ns/op",MYSQL,1
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,382449.419711,6024.674043,"ns/op",MYSQL,10
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,812955.035858,33241.642471,"ns/op",MYSQL,100
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,3229483.742117,17793.020422,"ns/op",MYSQL,1000
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,340133.643796,2098.680100,"ns/op",MYSQL,1
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,398815.916492,6819.252545,"ns/op",MYSQL,10
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,882671.884447,29029.902863,"ns/op",MYSQL,100
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,3856918.639125,18439.294120,"ns/op",MYSQL,1000
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,331101.068692,1876.223966,"ns/op",MYSQL,1
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,358350.593189,2728.442048,"ns/op",MYSQL,10
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,737435.329663,31595.582032,"ns/op",MYSQL,100
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,2614086.186363,21344.293719,"ns/op",MYSQL,1000
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,340480.680071,2017.346887,"ns/op",MYSQL,1
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,399280.986065,7286.723792,"ns/op",MYSQL,10
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,873295.522376,23762.613561,"ns/op",MYSQL,100
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,3881600.201028,17688.872038,"ns/op",MYSQL,1000
