"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: db","Param: limit","Param: useAsm"
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,17380.444009,115.246129,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,23384.467892,108.546145,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,85470.591766,587.073937,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,746001.433785,6742.434687,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,17877.374889,93.675887,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,30186.919753,114.161023,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,152692.963571,751.561678,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,1421421.628031,17060.237661,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,17775.110242,64.388941,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,22142.166292,64.605288,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,60281.461644,440.978795,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,488217.046631,9118.042222,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4602580.964328,20052.254084,"ns/op",,1,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4549290.701578,12813.763204,"ns/op",,10,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4621384.580719,13107.539366,"ns/op",,100,
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,5520384.519849,14509.114713,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,16459.708465,91.836282,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,21375.469789,112.139850,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,67010.146708,427.734486,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,543443.997489,1212.965786,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,17690.976352,68.400004,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,25851.359881,98.943771,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,108712.074777,426.329442,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,979392.849797,10488.348842,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,17227.211829,62.187453,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,20452.448852,73.057929,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,54579.075052,114.157198,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,386253.869266,1558.029612,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,17182.724246,60.665615,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,19870.048593,72.264126,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,44157.688560,306.531002,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,310229.587969,622.558718,"ns/op",,1000,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4089794.297802,49279.397439,"ns/op",,1,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,3996029.155268,9444.113820,"ns/op",,10,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4091867.897136,10400.101804,"ns/op",,100,
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4987046.895359,10614.635616,"ns/op",,1000,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,17665.182663,171.090578,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,35549.715813,252.620474,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,235398.153700,988.229662,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.hibernate.HibernateStatefullBenchmark.testQuery","avgt",1,100.000000,2147508.943867,15024.187178,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,20395.326895,333.515772,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,44864.172661,412.545772,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,269439.930172,3822.400755,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.ibatis.MyBatisBenchmark.testQuery","avgt",1,100.000000,2407828.302038,14529.906307,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,1741.612248,26.766162,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,4583.199251,18.227466,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,33236.810102,165.032480,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jdbc.PureJdbcBenchmark.testQuery","avgt",1,100.000000,320841.999947,1340.233815,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,25055.796950,184.122138,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,33778.810074,136.766880,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,116972.640354,491.344577,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testFetchRecord","avgt",1,100.000000,919498.448925,2260.838698,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,26109.541406,174.570536,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,35496.991596,184.211483,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,128926.457887,809.259299,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmAsProviderMapper","avgt",1,100.000000,1036720.250070,6463.777658,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,22785.634030,111.672096,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,26788.854429,149.071791,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,62572.437823,230.288809,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlSfmMapperOnResultSet","avgt",1,100.000000,417197.168310,1529.920115,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,28873.448012,153.948445,"ns/op",HSQLDB,1,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,43668.378765,220.283821,"ns/op",HSQLDB,10,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,188443.398968,906.417114,"ns/op",HSQLDB,100,
"org.sfm.benchmark.db.jooq.JooqBenchmark.testSqlWithJooqMapper","avgt",1,100.000000,1567599.623501,4134.348321,"ns/op",HSQLDB,1000,
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,1959.108281,29.004782,"ns/op",HSQLDB,1,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,2187.814206,27.285141,"ns/op",HSQLDB,1,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,6190.365509,48.570751,"ns/op",HSQLDB,10,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,7769.360639,61.553417,"ns/op",HSQLDB,10,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,48608.687744,594.719100,"ns/op",HSQLDB,100,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,62473.128716,281.668534,"ns/op",HSQLDB,100,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,463738.426415,6985.155499,"ns/op",HSQLDB,1000,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQuery","avgt",1,100.000000,612586.337003,2034.881376,"ns/op",HSQLDB,1000,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,2051.677822,31.445254,"ns/op",HSQLDB,1,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,2307.228617,21.776337,"ns/op",HSQLDB,1,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,5223.003218,31.392243,"ns/op",HSQLDB,10,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,6958.866153,38.625051,"ns/op",HSQLDB,10,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,36435.631211,256.232023,"ns/op",HSQLDB,100,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,52713.836284,251.061255,"ns/op",HSQLDB,100,false
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,353170.724303,3090.180673,"ns/op",HSQLDB,1000,true
"org.sfm.benchmark.db.sfm.JdbcMapperDynamicBenchmark.testQueryForEach","avgt",1,100.000000,492082.146427,2019.385166,"ns/op",HSQLDB,1000,false
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100.000000,1747.002431,28.765888,"ns/op",HSQLDB,1,true
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100.000000,1985.679120,17.939805,"ns/op",HSQLDB,1,false
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100.000000,4922.143205,17.581314,"ns/op",HSQLDB,10,true
"org.sfm.benchmark.db.sfm.JdbcMapperStaticBenchmark.testQuery","avgt",1,100.000000,6657.524225,37.040252,"ns/op",HSQLDB,10,false
