Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: db,Param: limit,Param: useAsm
HibernateStatefull,avgt,1,100,18426.89852,190.435512,ns/op,HSQLDB,1,
HibernateStatefull,avgt,1,100,37612.32628,207.398894,ns/op,HSQLDB,10,
HibernateStatefull,avgt,1,100,239647.7339,1941.966297,ns/op,HSQLDB,100,
HibernateStatefull,avgt,1,100,2193158.763,11171.85367,ns/op,HSQLDB,1000,
MyBatis,avgt,1,100,21279.65804,228.257993,ns/op,HSQLDB,1,
MyBatis,avgt,1,100,45177.66832,474.334929,ns/op,HSQLDB,10,
MyBatis,avgt,1,100,272057.6681,3767.425612,ns/op,HSQLDB,100,
MyBatis,avgt,1,100,2488828.546,37381.83898,ns/op,HSQLDB,1000,
PureJdbc,avgt,1,100,1693.697374,17.066225,ns/op,HSQLDB,1,
PureJdbc,avgt,1,100,4647.744153,24.807933,ns/op,HSQLDB,10,
PureJdbc,avgt,1,100,33177.80306,67.815888,ns/op,HSQLDB,100,
PureJdbc,avgt,1,100,321250.0661,1085.157694,ns/op,HSQLDB,1000,
Jooq.testFetchRecord,avgt,1,100,25400.51711,160.522181,ns/op,HSQLDB,1,
Jooq.testFetchRecord,avgt,1,100,33773.61826,120.182821,ns/op,HSQLDB,10,
Jooq.testFetchRecord,avgt,1,100,119448.2874,369.58853,ns/op,HSQLDB,100,
Jooq.testFetchRecord,avgt,1,100,945228.744,5951.006085,ns/op,HSQLDB,1000,
Jooq.testSqlSfmAsProviderMapper,avgt,1,100,25827.64413,108.411345,ns/op,HSQLDB,1,
Jooq.testSqlSfmAsProviderMapper,avgt,1,100,35987.92325,194.600313,ns/op,HSQLDB,10,
Jooq.testSqlSfmAsProviderMapper,avgt,1,100,131654.0383,923.505436,ns/op,HSQLDB,100,
Jooq.testSqlSfmAsProviderMapper,avgt,1,100,1081224.281,7144.521021,ns/op,HSQLDB,1000,
Jooq.testSqlSfmMapperOnResultSet,avgt,1,100,22993.43254,154.503341,ns/op,HSQLDB,1,
Jooq.testSqlSfmMapperOnResultSet,avgt,1,100,26775.28601,111.355524,ns/op,HSQLDB,10,
Jooq.testSqlSfmMapperOnResultSet,avgt,1,100,62467.7474,208.591979,ns/op,HSQLDB,100,
Jooq.testSqlSfmMapperOnResultSet,avgt,1,100,420515.5388,2869.391062,ns/op,HSQLDB,1000,
Jooq.testSqlWithJooqMapper,avgt,1,100,28731.05943,122.851618,ns/op,HSQLDB,1,
Jooq.testSqlWithJooqMapper,avgt,1,100,44026.95676,208.240293,ns/op,HSQLDB,10,
Jooq.testSqlWithJooqMapper,avgt,1,100,190535.5189,693.701799,ns/op,HSQLDB,100,
Jooq.testSqlWithJooqMapper,avgt,1,100,1589820.34,4258.766855,ns/op,HSQLDB,1000,
JdbcMapperDynamic,avgt,1,100,1943.239437,20.828101,ns/op,HSQLDB,1,TRUE
JdbcMapperDynamicNoAsm,avgt,1,100,2214.572581,24.47416,ns/op,HSQLDB,1,FALSE
JdbcMapperDynamic,avgt,1,100,6136.614007,48.644485,ns/op,HSQLDB,10,TRUE
JdbcMapperDynamicNoAsm,avgt,1,100,7717.27985,19.812165,ns/op,HSQLDB,10,FALSE
JdbcMapperDynamic,avgt,1,100,48064.26563,586.011686,ns/op,HSQLDB,100,TRUE
JdbcMapperDynamicNoAsm,avgt,1,100,62048.73131,135.677497,ns/op,HSQLDB,100,FALSE
JdbcMapperDynamic,avgt,1,100,456940.1096,5091.308262,ns/op,HSQLDB,1000,TRUE
JdbcMapperDynamicNoAsm,avgt,1,100,611691.5627,1138.736789,ns/op,HSQLDB,1000,FALSE
JdbcMapperDynamicForEach,avgt,1,100,1992.043453,26.25022,ns/op,HSQLDB,1,TRUE
JdbcMapperDynamicForEachNoAsm,avgt,1,100,2265.026684,23.672736,ns/op,HSQLDB,1,FALSE
JdbcMapperDynamicForEach,avgt,1,100,5218.148484,27.614388,ns/op,HSQLDB,10,TRUE
JdbcMapperDynamicForEachNoAsm,avgt,1,100,6871.920093,19.590443,ns/op,HSQLDB,10,FALSE
JdbcMapperDynamicForEach,avgt,1,100,36597.40423,124.944052,ns/op,HSQLDB,100,TRUE
JdbcMapperDynamicForEachNoAsm,avgt,1,100,52528.07968,283.818496,ns/op,HSQLDB,100,FALSE
JdbcMapperDynamicForEach,avgt,1,100,354883.7549,2939.151249,ns/op,HSQLDB,1000,TRUE
JdbcMapperDynamicForEachNoAsm,avgt,1,100,496873.527,4059.005801,ns/op,HSQLDB,1000,FALSE
JdbcMapperStatic,avgt,1,100,1769.70488,25.323651,ns/op,HSQLDB,1,TRUE
JdbcMapperStaticNoAsm,avgt,1,100,1991.138318,22.081273,ns/op,HSQLDB,1,FALSE
JdbcMapperStatic,avgt,1,100,4918.762543,27.130655,ns/op,HSQLDB,10,TRUE
JdbcMapperStaticNoAsm,avgt,1,100,6721.832304,48.437377,ns/op,HSQLDB,10,FALSE
JdbcMapperStatic,avgt,1,100,37481.25019,322.378612,ns/op,HSQLDB,100,TRUE
JdbcMapperStaticNoAsm,avgt,1,100,53239.93211,109.793041,ns/op,HSQLDB,100,FALSE
JdbcMapperStatic,avgt,1,100,363958.4371,3329.195366,ns/op,HSQLDB,1000,TRUE
JdbcMapperStaticNoAsm,avgt,1,100,486664.4097,3731.372515,ns/op,HSQLDB,1000,FALSE
JdbcMapperStaticForEach,avgt,1,100,1757.463168,19.422286,ns/op,HSQLDB,1,TRUE
JdbcMapperStaticForEachNoAsm,avgt,1,100,1993.55286,22.031978,ns/op,HSQLDB,1,FALSE
JdbcMapperStaticForEach,avgt,1,100,4931.986473,31.243145,ns/op,HSQLDB,10,TRUE
JdbcMapperStaticForEachNoAsm,avgt,1,100,6660.577205,22.62711,ns/op,HSQLDB,10,FALSE
JdbcMapperStaticForEach,avgt,1,100,36646.48916,291.496411,ns/op,HSQLDB,100,TRUE
JdbcMapperStaticForEachNoAsm,avgt,1,100,52857.39703,117.668792,ns/op,HSQLDB,100,FALSE
JdbcMapperStaticForEach,avgt,1,100,350970.0345,2572.772205,ns/op,HSQLDB,1000,TRUE
JdbcMapperStaticForEachNoAsm,avgt,1,100,488031.2883,2071.640088,ns/op,HSQLDB,1000,FALSE
BeanPropertyRowMapper,avgt,1,100,14374.97035,181.589549,ns/op,HSQLDB,1,
BeanPropertyRowMapper,avgt,1,100,116673.2838,1180.542204,ns/op,HSQLDB,10,
BeanPropertyRowMapper,avgt,1,100,1113095.873,6784.921588,ns/op,HSQLDB,100,
BeanPropertyRowMapper,avgt,1,100,11378836.28,164751.2008,ns/op,HSQLDB,1000,
Roma,avgt,1,100,1576.68018,13.741573,ns/op,HSQLDB,1,
Roma,avgt,1,100,3860.32862,18.562351,ns/op,HSQLDB,10,
Roma,avgt,1,100,25803.39788,71.943312,ns/op,HSQLDB,100,
Roma,avgt,1,100,240132.6343,518.123618,ns/op,HSQLDB,1000,
Sql2O.sfm,avgt,1,100,4981.70783,31.256777,ns/op,HSQLDB,1,
Sql2O.sfm,avgt,1,100,8571.327525,40.182403,ns/op,HSQLDB,10,
Sql2O.sfm,avgt,1,100,42113.94005,304.947543,ns/op,HSQLDB,100,
Sql2O.sfm,avgt,1,100,387285.8741,1343.939402,ns/op,HSQLDB,1000,
Sql2O,avgt,1,100,6200.301198,36.47804,ns/op,HSQLDB,1,
Sql2O,avgt,1,100,12128.37835,63.912907,ns/op,HSQLDB,10,
Sql2O,avgt,1,100,68830.18328,261.361438,ns/op,HSQLDB,100,
Sql2O,avgt,1,100,637521.6184,2384.796466,ns/op,HSQLDB,1000,
