"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: limit"
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,17259.085960,91.327142,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,20437.259625,136.725557,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,23558.759644,211.424590,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,86555.324806,968.798565,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,741960.534571,6653.458982,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,7323303.588531,49489.481758,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,146714.953877,530.663476,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,158453.704482,486.179630,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,172513.527018,472.150389,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,410640.909838,1974.870351,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,2721703.661192,25557.321308,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,26428183.378620,155693.265503,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,17637.006333,61.755401,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,19080.125270,81.035395,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,20918.534543,106.011530,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,59893.463948,739.796075,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,427518.063976,3652.501676,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapper","avgt",1,100.000000,4224274.698115,21240.878740,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,17949.677916,89.256348,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,19814.214132,84.033220,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,21990.392222,63.740474,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,61771.452976,137.225065,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,498263.855473,4976.520515,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperFinal","avgt",1,100.000000,4845783.152926,35549.104539,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,17996.522992,75.335672,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,20326.527494,85.839694,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,22739.703637,106.141974,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,69713.421863,80.350431,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,603187.853046,7634.123731,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsm","avgt",1,100.000000,5676333.266477,76820.995583,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,18352.940491,76.479921,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,21017.935138,104.427934,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,24213.041826,133.593485,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,82821.858848,483.517196,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,694492.525127,9013.702482,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testReadSfmCsvMapperNoAsmFinal","avgt",1,100.000000,7185848.590406,48198.778644,"ns/op",10000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4545057.194853,17829.591509,"ns/op",1
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4532915.395065,18416.790093,"ns/op",5
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4527310.653522,11330.772552,"ns/op",10
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,4632596.846893,16942.488146,"ns/op",100
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,5566538.656571,17744.096540,"ns/op",1000
"org.sfm.benchmark.csv.CsvMapperBenchmark.testUnivocityCsvMapper","avgt",1,100.000000,14075167.894947,22846.364461,"ns/op",10000
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,16615.645733,77.445870,"ns/op",1
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,19185.043433,127.557219,"ns/op",5
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,21201.244129,120.305821,"ns/op",10
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,67108.950651,323.399646,"ns/op",100
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,547658.010385,5460.646270,"ns/op",1000
"org.sfm.benchmark.csv.CsvParserBenchmark.testJacksonCsvParser","avgt",1,100.000000,5310310.138815,32620.306189,"ns/op",10000
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,17942.867396,89.002670,"ns/op",1
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,21452.439649,108.190111,"ns/op",5
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,25853.519468,131.201490,"ns/op",10
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,108890.320384,617.635384,"ns/op",100
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,1001422.779750,8990.979434,"ns/op",1000
"org.sfm.benchmark.csv.CsvParserBenchmark.testOpenCsvParser","avgt",1,100.000000,9875068.492837,123240.801681,"ns/op",10000
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,17494.821785,87.826841,"ns/op",1
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,18969.329283,100.990237,"ns/op",5
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,20611.629419,74.654251,"ns/op",10
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,54775.178749,289.803681,"ns/op",100
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,386770.879642,1412.196044,"ns/op",1000
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParser","avgt",1,100.000000,3993911.077962,12405.575674,"ns/op",10000
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,17276.594507,77.730473,"ns/op",1
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,18555.247037,61.591290,"ns/op",5
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,19931.902289,52.082897,"ns/op",10
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,43859.958529,429.110249,"ns/op",100
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,309504.011845,805.339775,"ns/op",1000
"org.sfm.benchmark.csv.CsvParserBenchmark.testReadSfmCsvParserCC","avgt",1,100.000000,3025838.707565,12162.275220,"ns/op",10000
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4301187.374576,16245.382272,"ns/op",1
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4267316.625236,18888.920051,"ns/op",5
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4302410.502624,13560.588790,"ns/op",10
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,4362057.238824,10120.060161,"ns/op",100
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,5176575.769352,13097.926355,"ns/op",1000
"org.sfm.benchmark.csv.CsvParserBenchmark.testUnivocityParser","avgt",1,100.000000,13328104.283912,33336.926554,"ns/op",10000
