"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: classType","Param: limit","Param: methodSize","Param: objectSize","Param: useAsm"
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,348224.399085,3317.041449,"ns/op",GS,1000,,2,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,723127.514541,2869.181528,"ns/op",GS,1000,,4,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,1513752.390332,5043.660674,"ns/op",GS,1000,,8,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,3016620.721247,9323.715784,"ns/op",GS,1000,,16,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,6254586.448806,24355.539115,"ns/op",GS,1000,,32,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,13726348.563645,67615.129628,"ns/op",GS,1000,,64,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,30249258.843625,155386.428866,"ns/op",GS,1000,,128,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,75684709.272637,473145.301628,"ns/op",GS,1000,,256,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,178782603.701667,1217067.781412,"ns/op",GS,1000,,512,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,624638971.588333,30118654.998740,"ns/op",GS,1000,,1024,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,2376364058.090000,27811886.171754,"ns/op",GS,1000,,2048,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,4681156648.350000,30063729.996653,"ns/op",GS,1000,,4096,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testJacksonCsvMapper","avgt",1,100.000000,8303240402.120000,64110852.914927,"ns/op",GS,1000,,8192,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,1117736.269579,5322.891478,"ns/op",GS,1000,,2,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,2259180.431828,17183.933504,"ns/op",GS,1000,,4,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,4251805.438730,16340.604141,"ns/op",GS,1000,,8,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,8845360.573406,67560.677046,"ns/op",GS,1000,,16,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,17767466.642306,59937.351376,"ns/op",GS,1000,,32,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,36295407.659012,183537.913773,"ns/op",GS,1000,,64,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,77357887.581154,262097.293632,"ns/op",GS,1000,,128,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,179291796.863333,660279.705314,"ns/op",GS,1000,,256,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,402926589.465000,13805256.764365,"ns/op",GS,1000,,512,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,1235366444.510000,19286940.082762,"ns/op",GS,1000,,1024,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,3649288770.790000,23698080.905328,"ns/op",GS,1000,,2048,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,7230389060.970000,30416283.093539,"ns/op",GS,1000,,4096,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testOpenCsvMapper","avgt",1,100.000000,13105251826.430000,117697220.529934,"ns/op",GS,1000,,8192,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,172054.432034,354.762148,"ns/op",GS,1000,,2,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,463994.698884,15474.066042,"ns/op",GS,1000,,4,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,874983.164900,6998.029468,"ns/op",GS,1000,,8,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,1230699.993028,2477.351244,"ns/op",GS,1000,,16,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,2587430.787130,12039.179387,"ns/op",GS,1000,,32,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,5920197.238488,18959.286787,"ns/op",GS,1000,,64,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,14099142.623817,135882.304734,"ns/op",GS,1000,,128,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,34916435.024918,141983.363262,"ns/op",GS,1000,,256,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,87486944.127500,343071.256005,"ns/op",GS,1000,,512,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,209693189.026833,6314644.483330,"ns/op",GS,1000,,1024,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,579982446.320000,7945919.511263,"ns/op",GS,1000,,2048,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,1287979759.070000,66809937.840559,"ns/op",GS,1000,,4096,
"org.sfm.benchmark.csv.ObjectSizeCsvMapperBenchmark.testReadSfmCsvMapperAsm","avgt",1,100.000000,4701486411.170000,464767337.279463,"ns/op",GS,1000,,8192,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,171268.546872,208.291659,"ns/op",GS,1000,,2,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,191767.377312,352.909050,"ns/op",GS,1000,,2,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,208276.748421,972.206733,"ns/op",GS,1000,,2,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,464839.785025,15491.400061,"ns/op",GS,1000,,4,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,347902.852820,4036.615923,"ns/op",GS,1000,,4,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,559628.867738,4217.155266,"ns/op",GS,1000,,4,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,862780.038239,6199.726083,"ns/op",GS,1000,,8,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,855233.634324,1994.963882,"ns/op",GS,1000,,8,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,1090759.110582,7771.534703,"ns/op",GS,1000,,8,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,1244770.256656,6709.512845,"ns/op",GS,1000,,16,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,1916121.737849,10896.926717,"ns/op",GS,1000,,16,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,2197629.004659,15273.415915,"ns/op",GS,1000,,16,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,2616506.970985,9085.924855,"ns/op",GS,1000,,32,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,4011998.772942,20198.515850,"ns/op",GS,1000,,32,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,4606672.644254,19420.191664,"ns/op",GS,1000,,32,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,5896451.727427,20056.786536,"ns/op",GS,1000,,64,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,8433730.435079,75773.687845,"ns/op",GS,1000,,64,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,9828934.957191,46300.787241,"ns/op",GS,1000,,64,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,13880621.021240,122129.381626,"ns/op",GS,1000,,128,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,17925140.268542,93715.034395,"ns/op",GS,1000,,128,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,22760186.290902,179276.340918,"ns/op",GS,1000,,128,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,34384914.051644,117360.486115,"ns/op",GS,1000,,256,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,36926887.896508,165990.030762,"ns/op",GS,1000,,256,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,54663078.868810,421074.979019,"ns/op",GS,1000,,256,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,90232644.442197,679851.424323,"ns/op",GS,1000,,512,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,95690403.160909,465014.111627,"ns/op",GS,1000,,512,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,138918650.176250,864506.355120,"ns/op",GS,1000,,512,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,209418160.433333,6071461.509954,"ns/op",GS,1000,,1024,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,227099490.467500,8095852.950268,"ns/op",GS,1000,,1024,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,443915814.090000,33760534.373040,"ns/op",GS,1000,,1024,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,596492766.515000,14342574.481622,"ns/op",GS,1000,,2048,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,568547316.540000,6900649.129101,"ns/op",GS,1000,,2048,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,2129017910.310000,16579853.048183,"ns/op",GS,1000,,2048,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,1397377336.670000,49623683.884406,"ns/op",GS,1000,,4096,FULL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,1288507380.120000,65798602.397621,"ns/op",GS,1000,,4096,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,4186515975.920000,24073534.863916,"ns/op",GS,1000,,4096,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,4758005313.410000,485775684.839394,"ns/op",GS,1000,,8192,PARTIAL_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperBenchmark.testMap","avgt",1,100.000000,6929379765.550000,73139717.451656,"ns/op",GS,1000,,8192,NO_ASM
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,171536.455166,380.427202,"ns/op",GS,1000,2,2,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,351722.721054,1690.960489,"ns/op",GS,1000,2,4,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,664839.777074,4407.304415,"ns/op",GS,1000,2,8,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,1635517.747651,3786.382775,"ns/op",GS,1000,2,16,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,2753576.376992,132077.632176,"ns/op",GS,1000,2,32,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,6365099.520159,26725.158879,"ns/op",GS,1000,2,64,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,15182432.475913,115623.698980,"ns/op",GS,1000,2,128,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,40332603.673344,913166.125461,"ns/op",GS,1000,2,256,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,105767267.733000,571265.110213,"ns/op",GS,1000,2,512,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,243942675.363167,6951762.224308,"ns/op",GS,1000,2,1024,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,568679446.350000,11080351.534913,"ns/op",GS,1000,2,2048,
