benchmark,object,query size,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%,min,avg,max
PureJdbcBenchmark,SmallBenchmarkObject,00001,00286.00,00287.00,00288.00,00288.00,00289.00,00290.00,00291.00,00293.00,00297.00,00305.00,00551.00,00284.00,00298.84,1137664.00
PureJdbcBenchmark,SmallBenchmarkObject,00010,00539.00,00540.00,00542.00,00544.00,00546.00,00548.00,00549.00,00553.00,00563.00,00570.00,00626.00,00534.00,00557.90,1607680.00
PureJdbcBenchmark,SmallBenchmarkObject,00100,02948.00,02950.00,02952.00,02954.00,02956.00,02958.00,02962.00,02966.00,02982.00,03018.00,03164.00,02930.00,02989.99,1321984.00
PureJdbcBenchmark,SmallBenchmarkObject,01000,26896.00,26912.00,26928.00,26944.00,26944.00,26960.00,26992.00,27024.00,27104.00,27200.00,32432.00,26816.00,27211.44,1416192.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00001,00306.00,00306.00,00307.00,00308.00,00308.00,00309.00,00310.00,00312.00,00316.00,00323.00,00521.00,00299.00,00318.08,1343488.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00010,00570.00,00572.00,00574.00,00576.00,00578.00,00580.00,00583.00,00585.00,00590.00,00598.00,00658.00,00560.00,00586.02,1595392.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00100,02940.00,02944.00,02948.00,02950.00,02954.00,02958.00,02962.00,02968.00,03002.00,03036.00,03226.00,02880.00,02991.06,1362944.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,01000,32832.00,32864.00,32864.00,32896.00,32896.00,32928.00,32960.00,33024.00,33120.00,33440.00,42528.00,31280.00,33230.61,1434624.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,00329.00,00329.00,00330.00,00331.00,00331.00,00333.00,00333.00,00335.00,00339.00,00350.00,00538.00,00323.00,00347.41,5644288.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,00598.00,00600.00,00602.00,00603.00,00605.00,00608.00,00610.00,00613.00,00619.00,00626.00,00686.00,00589.00,00613.89,1908736.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,02900.00,02912.00,02922.00,02932.00,02942.00,02950.00,02958.00,02978.00,03088.00,03164.00,03360.00,02822.00,02990.20,1359872.00
