benchmark,object,query size,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%,min,avg,max
PureJdbcBenchmark,SmallBenchmarkObject,00001,117248.00,117952.00,118336.00,118912.00,119104.00,119296.00,119488.00,119936.00,122560.00,128320.00,168192.00,111360.00,121314.63,5181440.00
PureJdbcBenchmark,SmallBenchmarkObject,00010,140800.00,141312.00,141952.00,142592.00,150528.00,185088.00,185856.00,187264.00,224128.00,289792.00,302848.00,135168.00,172639.37,1950720.00
PureJdbcBenchmark,SmallBenchmarkObject,00100,501760.00,503808.00,505600.00,507904.00,510976.00,513536.00,515072.00,517376.00,521728.00,525824.00,548864.00,332032.00,510056.39,1951744.00
PureJdbcBenchmark,SmallBenchmarkObject,01000,2079744.00,2085888.00,2091008.00,2097152.00,2105344.00,2113536.00,2121728.00,2127872.00,2136064.00,2144256.00,2172928.00,1965056.00,2110247.18,6012928.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00001,119488.00,120128.00,120384.00,120640.00,121088.00,121536.00,121856.00,122432.00,125824.00,166144.00,211072.00,115072.00,125007.70,5124096.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00010,142720.00,143616.00,144640.00,186368.00,189440.00,190592.00,229376.00,292608.00,300544.00,304384.00,348672.00,137216.00,204635.52,2306048.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,00100,505344.00,507136.00,508672.00,510720.00,513536.00,516096.00,518144.00,520448.00,524800.00,528896.00,551936.00,336640.00,513149.48,2150400.00
StaticJdbcMapperBenchmark,SmallBenchmarkObject,01000,2085888.00,2093056.00,2097152.00,2103296.00,2111488.00,2119680.00,2125824.00,2134016.00,2142208.00,2152448.00,2179072.00,1987584.00,2116856.17,4194304.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,118912.00,119552.00,119872.00,120192.00,120704.00,121024.00,121280.00,122048.00,125312.00,166528.00,206336.00,113792.00,124684.04,1785856.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00010,141824.00,142336.00,143360.00,144000.00,184704.00,185856.00,186880.00,189568.00,231552.00,295680.00,306688.00,136448.00,178896.79,2312192.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,00100,502272.00,504320.00,506368.00,508672.00,511488.00,513792.00,515328.00,517376.00,521216.00,524800.00,547840.00,333312.00,510113.50,2018304.00
DynamicJdbcMapperForEachBenchmark,SmallBenchmarkObject,01000,2084864.00,2091008.00,2097152.00,2103296.00,2109440.00,2117632.00,2123776.00,2129920.00,2140160.00,2148352.00,2179072.00,1988608.00,2114944.52,3860480.00
DynamicNoAsmJdbcMapperForEachBenchmark,SmallBenchmarkObject,00001,119488.00,120128.00,120448.00,120704.00,121280.00,121600.00,121856.00,122432.00,125120.00,166528.00,207488.00,114240.00,125019.31,1989632.00
